transaction_id,card_number,transaction_date,transaction_timestamp,merchant_name,category,amount,currency,status,description,created_at,updated_at
TXN_000001,****-****-****-5506,2025-09-28,2025-09-28T09:57:20.765209,WALMART,GROCERIES,33.01,USD,COMPLETED,Purchase at WALMART,2025-10-15T09:57:20.766208,2025-10-15T09:57:20.766208
TXN_000002,****-****-****-2424,2025-05-23,2025-05-23T09:57:20.765209,WALMART,EDUCATION,17.49,USD,COMPLETED,Purchase at WALMART,2025-10-15T09:57:20.766208,2025-10-15T09:57:20.766208
TXN_000003,****-****-****-4582,2025-04-26,2025-04-26T09:57:20.765209,AMAZON.COM,GAS,38.39,USD,COMPLETED,Purchase at AMAZON.COM,2025-10-15T09:57:20.766208,2025-10-15T09:57:20.766208
TXN_000004,****-****-****-4257,2025-09-19,2025-09-19T09:57:20.765209,AMAZON.COM,EDUCATION,92.11,USD,COMPLETED,Purchase at AMAZON.COM,2025-10-15T09:57:20.766208,2025-10-15T09:57:20.766208
TXN_000005,****-****-****-4611,2025-10-14,2025-10-14T09:57:20.765209,DOMINOS,TRANSPORTATION,15.89,USD,COMPLETED,Purchase at DOMINOS,2025-10-15T09:57:20.766208,2025-10-15T09:57:20.766208
TXN_000006,****-****-****-7924,2025-06-28,2025-06-28T09:57:20.765209,AMAZON.COM,RESTAURANTS,15.89,USD,COMPLETED,Purchase at AMAZON.COM,2025-10-15T09:57:20.766208,2025-10-15T09:57:20.766208
TXN_000007,****-****-****-2674,2025-05-27,2025-05-27T09:57:20.765209,SPOTIFY,UTILITIES,97.44,USD,COMPLETED,Purchase at SPOTIFY,2025-10-15T09:57:20.766208,2025-10-15T09:57:20.766208
TXN_000008,****-****-****-5333,2025-05-12,2025-05-12T09:57:20.765209,MICROSOFT,UTILITIES,43.27,USD,COMPLETED,Purchase at MICROSOFT,2025-10-15T09:57:20.767208,2025-10-15T09:57:20.767208
TXN_000009,****-****-****-7201,2025-08-13,2025-08-13T09:57:20.765209,DOMINOS,GAS,12.56,USD,COMPLETED,Purchase at DOMINOS,2025-10-15T09:57:20.767208,2025-10-15T09:57:20.767208
TXN_000010,****-****-****-4150,2025-07-02,2025-07-02T09:57:20.765209,SAFEWAY,UTILITIES,34.56,USD,COMPLETED,Purchase at SAFEWAY,2025-10-15T09:57:20.767208,2025-10-15T09:57:20.767208
